trade_date,ts_code,TOS,INTER,GFP,PIS,NEXP,FISCAL,M2,category,month,week,category_id
2017-10-31,通用设备制造业,5.12740136111718,4.72006247956875,-13.1113220763602,6.52187041414827,11.6629330181709,2.98890454780955,8.79664780900136,工业,10,44,0
2017-11-30,通用设备制造业,5.3088569174362,4.94680404609276,-9.99183014948468,6.32642106659356,11.0400711583666,2.27987772395156,8.74429444274996,工业,11,48,0
2017-12-31,通用设备制造业,5.69464753614344,5.42572846816798,-4.68182842232919,6.91927125066891,8.58149496245888,1.9860571593643,8.65222970772004,工业,12,52,0
2018-01-31,通用设备制造业,6.05847980343664,5.90296582026908,2.46445703642653,8.33549845507235,2.84626079236683,2.10884465815534,8.52737543402359,工业,1,5,0
2018-02-28,通用设备制造业,6.07292636746297,6.01178617104359,10.1625929810747,10.7705655587613,-4.62151239239912,2.51124297117596,8.39477520029047,工业,2,9,0
2018-03-31,通用设备制造业,5.57847831980368,5.56375016509301,16.3337160155521,13.7392054115045,-12.0482354861964,3.09029145369187,8.29262344758768,工业,3,13,0
2018-04-30,通用设备制造业,4.87521757412171,4.86706043520997,19.3918496946932,16.7859210817876,-17.723134136981,3.7353817792713,8.24524992425892,工业,4,18,0
2018-05-31,通用设备制造业,4.30188092394565,4.29148913746047,18.9621704370152,18.9716797496059,-20.2786252785335,4.46681051916561,8.24036132417725,工业,5,22,0
2018-06-30,通用设备制造业,3.87450007686576,3.87384844938978,16.3954675931849,20.1725823680562,-19.1025236727856,5.30255737749133,8.24554385908737,工业,6,26,0
2018-07-31,通用设备制造业,3.48377401526172,3.49125989608008,13.497472776273,20.4168200059225,-14.4632094986509,6.31750626283277,8.22502666645957,工业,7,31,0
2018-08-31,通用设备制造业,3.13359635142298,3.14579265464203,12.0369947385827,19.6993933422388,-7.83217712678422,7.56058487560963,8.1857968225069,工业,8,35,0
2018-09-30,通用设备制造业,3.02238054926983,3.03990498925106,12.4963830593779,18.8174939104098,-1.73195760417997,9.00769441509546,8.13260980539298,工业,9,39,0
2018-10-31,通用设备制造业,3.01521692995797,3.03591412830033,14.2682153907858,18.4067793641213,2.41480468515238,10.4939088347997,8.09622833634307,工业,10,44,0
2018-11-30,通用设备制造业,3.09892965286704,3.11623953459432,15.8713134792133,17.9622113096523,4.90301569500751,11.8430135898865,8.10054377785702,工业,11,48,0
2018-12-31,通用设备制造业,3.58174545764929,3.58653744619095,16.2028896499397,16.4376104140682,6.82937124196694,12.8688856894764,8.14944333203713,工业,12,1,0
2019-01-31,通用设备制造业,4.12858519957572,4.11465817843912,14.9249939409159,14.0504132425062,10.3766610131417,13.3609275102182,8.24162538497183,工业,1,5,0
2019-02-28,通用设备制造业,4.21236234065128,4.18463584594442,12.3172289790402,10.8117150480278,15.7887615511544,13.2819578018687,8.35060790666418,工业,2,9,0
2019-03-31,通用设备制造业,3.73973946133643,3.71026225587963,9.70952840454555,7.44936922184263,22.6751936928643,12.6264482700728,8.42681503028536,工业,3,13,0
2019-04-30,通用设备制造业,2.78258292459938,2.76226657579401,7.96268433761762,4.94510139019044,30.4577727987157,11.5281456735377,8.4486894131497,工业,4,18,0
2019-05-31,通用设备制造业,1.50753097425464,1.4992404150209,7.72657772640319,3.84741462492268,36.6465292838349,10.0715013567322,8.42505532467315,工业,5,22,0
2019-06-30,通用设备制造业,0.483018063110961,0.482701030000809,9.08378792108315,3.83820977129179,38.9262914632053,8.4287106562298,8.3690977481302,工业,6,26,0
2019-07-31,通用设备制造业,0.376585019852243,0.381072172372199,11.3152350410942,4.09483100562673,36.9626873594155,6.73987311346445,8.30791685621945,工业,7,31,0
2019-08-31,通用设备制造业,0.902962460080204,0.910745800596446,12.8738428819434,4.00723229130049,31.9693293938244,5.08231201973866,8.25838572961998,工业,8,35,0
2019-09-30,通用设备制造业,0.997224624135001,1.0149680008944,12.2229841616911,2.64548892473802,25.2752072970409,3.56580630080225,8.228897426071,工业,9,40,0
